iter	RMSE
0	1.223358241
1	1.193256143
2	1.166976756
3	1.144608889
4	1.124783524
5	1.108286815
6	1.093804482
7	1.08196267
8	1.071098365
9	1.061480096
10	1.052927417
11	1.045061269
12	1.037501324
13	1.031867286
14	1.0260613
15	1.020545509
16	1.016517009
17	1.012438894
18	1.008851793
19	1.005557963
20	1.002284942
21	0.9994034217
22	0.9967593303
23	0.9942209557
24	0.9919874419
25	0.9898070844
26	0.9880786999
27	0.986361018
28	0.9846108686
29	0.9830247721
30	0.9817512733
31	0.979955411
32	0.9787504512
33	0.9773968392
34	0.9762428771
35	0.9748669531
36	0.9738361292
37	0.9728406235
38	0.971621053
39	0.9708430097
40	0.9700909328
41	0.9692123634
42	0.9682892311
43	0.9675236653
44	0.9665150693
45	0.9659419244
46	0.965051086
47	0.9644349892
48	0.9638031247
49	0.9633056476
50	0.962581443
51	0.9620455777
52	0.9615623923
53	0.9608233058
54	0.9604133903
55	0.9599437175
56	0.9595346634
57	0.9589121634
58	0.958343993
59	0.9580325766
60	0.9575781258
61	0.9571241304
62	0.9567330834
63	0.9560383996
64	0.9556159563
65	0.9552258146
66	0.9547558366
67	0.9544642776
68	0.9540601669
69	0.9536813407
70	0.9533117144
71	0.952794883
72	0.9525245159
73	0.9522804323
74	0.9520488081
75	0.951758775
76	0.9514731995
77	0.9510819972
78	0.9508289158
79	0.9505263483
80	0.9501164685
81	0.9498772142
82	0.9495324101
83	0.9492687907
84	0.9488662452
85	0.9486525844
86	0.9482837498
87	0.9478992389
88	0.9476362227
89	0.9474115123
90	0.9472230444
91	0.9468908233
92	0.9465086636
93	0.9461991976
94	0.94598523
95	0.9458039201
96	0.9455971768
97	0.9453759051
98	0.9452728579
99	0.9449819352
