iter	Passed	Remaining
0	121	11997
1	139	6813
2	158	5118
3	168	4036
4	179	3410
5	188	2959
6	196	2612
7	204	2352
8	212	2144
9	222	2001
10	229	1858
11	236	1736
12	243	1630
13	251	1544
14	258	1466
15	266	1399
16	273	1336
17	279	1275
18	286	1221
19	292	1171
20	299	1128
21	306	1085
22	312	1044
23	318	1008
24	324	973
25	331	942
26	337	911
27	343	882
28	350	857
29	356	830
30	362	806
31	368	783
32	374	760
33	380	738
34	386	718
35	393	698
36	400	681
37	406	662
38	413	646
39	419	629
40	426	613
41	432	597
42	438	581
43	445	566
44	451	552
45	457	537
46	465	524
47	473	512
48	479	498
49	485	485
50	491	471
51	497	459
52	504	447
53	511	435
54	517	423
55	523	411
56	530	400
57	536	388
58	543	377
59	549	366
60	554	354
61	562	344
62	568	333
63	574	323
64	580	312
65	586	302
66	594	292
67	600	282
68	606	272
69	612	262
70	618	252
71	624	243
72	630	233
73	637	223
74	643	214
75	650	205
76	656	196
77	662	186
78	669	177
79	675	168
80	681	159
81	687	150
82	693	142
83	700	133
84	707	124
85	713	116
86	719	107
87	726	99
88	732	90
89	740	82
90	746	73
91	753	65
92	760	57
93	766	48
94	773	40
95	780	32
96	787	24
97	794	16
98	800	8
99	807	0
